jahr,quartal,gemeinde_nummer,gemeinde,bezirk_nummer,bezirk,anfangsbestand,geburten,todesfaelle,geburtenueberschuss,zuzuege,wegzuege,wanderungssaldo,bereinigung_saldo,gesamtveraenderung,endbestand
2018,3,2829,Liestal,1303,Bezirk Liestal,14303,53,26,27,314,297,17,0,44,14347
2018,3,2841,Anwil,1304,Bezirk Sissach,571,0,1,-1,4,10,-6,0,-7,564
2018,3,2849,Itingen,1304,Bezirk Sissach,2104,9,4,5,58,38,20,0,25,2129
2018,3,2861,Sissach,1304,Bezirk Sissach,6691,23,10,13,142,134,8,0,21,6712
2018,3,2895,Waldenburg,1305,Bezirk Waldenburg,1122,0,1,-1,31,59,-28,0,-29,1093
2018,2,2763,Arlesheim,1301,Bezirk Arlesheim,9234,17,21,-4,116,181,-65,0,-69,9165
2018,2,2770,Muttenz,1301,Bezirk Arlesheim,17862,45,49,-4,262,266,-4,0,-8,17854
2018,2,2821,Arisdorf,1303,Bezirk Liestal,1643,6,2,4,29,20,9,0,13,1656
2018,2,2822,Augst,1303,Bezirk Liestal,1011,1,3,-2,45,27,18,0,16,1027
2018,2,2829,Liestal,1303,Bezirk Liestal,14300,45,25,20,251,268,-17,0,3,14303
