jahr,gemeinde_nummer,gemeinde,bfs_bezirk,bezirk,nationalitaet_code,nationalitaet,anzahl_personen
1996,2829,Liestal,1303,Bezirk Liestal,1,Schweiz,9396
1996,2829,Liestal,1303,Bezirk Liestal,2,Ausland,3172
1996,2841,Anwil,1304,Bezirk Sissach,1,Schweiz,417
1996,2841,Anwil,1304,Bezirk Sissach,2,Ausland,30
1996,2849,Itingen,1304,Bezirk Sissach,1,Schweiz,1385
1996,2849,Itingen,1304,Bezirk Sissach,2,Ausland,202
1996,2861,Sissach,1304,Bezirk Sissach,1,Schweiz,4411
1996,2861,Sissach,1304,Bezirk Sissach,2,Ausland,866
1996,2895,Waldenburg,1305,Bezirk Waldenburg,1,Schweiz,977
1996,2895,Waldenburg,1305,Bezirk Waldenburg,2,Ausland,409
1997,2763,Arlesheim,1301,Bezirk Arlesheim,1,Schweiz,6751
1997,2763,Arlesheim,1301,Bezirk Arlesheim,2,Ausland,1706
1997,2770,Muttenz,1301,Bezirk Arlesheim,1,Schweiz,14132
1997,2770,Muttenz,1301,Bezirk Arlesheim,2,Ausland,2523
1997,2821,Arisdorf,1303,Bezirk Liestal,1,Schweiz,1211
1997,2821,Arisdorf,1303,Bezirk Liestal,2,Ausland,96
1997,2822,Augst,1303,Bezirk Liestal,1,Schweiz,640
1997,2822,Augst,1303,Bezirk Liestal,2,Ausland,168
1997,2829,Liestal,1303,Bezirk Liestal,1,Schweiz,9433
1997,2829,Liestal,1303,Bezirk Liestal,2,Ausland,3138
1997,2841,Anwil,1304,Bezirk Sissach,1,Schweiz,418
1997,2841,Anwil,1304,Bezirk Sissach,2,Ausland,28
1997,2849,Itingen,1304,Bezirk Sissach,1,Schweiz,1366
1997,2849,Itingen,1304,Bezirk Sissach,2,Ausland,201
1997,2861,Sissach,1304,Bezirk Sissach,1,Schweiz,4419
1997,2861,Sissach,1304,Bezirk Sissach,2,Ausland,842
1997,2895,Waldenburg,1305,Bezirk Waldenburg,1,Schweiz,970
1997,2895,Waldenburg,1305,Bezirk Waldenburg,2,Ausland,438
1998,2763,Arlesheim,1301,Bezirk Arlesheim,1,Schweiz,6812
1998,2763,Arlesheim,1301,Bezirk Arlesheim,2,Ausland,1660
1998,2770,Muttenz,1301,Bezirk Arlesheim,1,Schweiz,14126
1998,2770,Muttenz,1301,Bezirk Arlesheim,2,Ausland,2581
1998,2821,Arisdorf,1303,Bezirk Liestal,1,Schweiz,1259
1998,2821,Arisdorf,1303,Bezirk Liestal,2,Ausland,95
1998,2822,Augst,1303,Bezirk Liestal,1,Schweiz,642
1998,2822,Augst,1303,Bezirk Liestal,2,Ausland,169
1998,2829,Liestal,1303,Bezirk Liestal,1,Schweiz,9370
1998,2829,Liestal,1303,Bezirk Liestal,2,Ausland,3086
1998,2841,Anwil,1304,Bezirk Sissach,1,Schweiz,425
1998,2841,Anwil,1304,Bezirk Sissach,2,Ausland,29
1998,2849,Itingen,1304,Bezirk Sissach,1,Schweiz,1386
1998,2849,Itingen,1304,Bezirk Sissach,2,Ausland,215
1998,2861,Sissach,1304,Bezirk Sissach,1,Schweiz,4394
1998,2861,Sissach,1304,Bezirk Sissach,2,Ausland,857
1998,2895,Waldenburg,1305,Bezirk Waldenburg,1,Schweiz,977
