jahr,bfs_nummer,gemeinde,haushaltsgrosse,wert
2014,2861,Sissach,6_oder_mehr_Personen,43
2014,2895,Waldenburg,6_oder_mehr_Personen,15
2013,2763,Arlesheim,1_Person,1417
2013,2770,Muttenz,1_Person,2679
2013,2821,Arisdorf,1_Person,140
2013,2822,Augst,1_Person,170
2013,2829,Liestal,1_Person,2111
2013,2841,Anwil,1_Person,43
2013,2849,Itingen,1_Person,192
2013,2861,Sissach,1_Person,859
2013,2895,Waldenburg,1_Person,199
2013,2763,Arlesheim,2_Personen,1445
2013,2770,Muttenz,2_Personen,2793
2013,2821,Arisdorf,2_Personen,271
2013,2822,Augst,2_Personen,181
2013,2829,Liestal,2_Personen,2105
2013,2841,Anwil,2_Personen,74
2013,2849,Itingen,2_Personen,343
2013,2861,Sissach,2_Personen,990
2013,2895,Waldenburg,2_Personen,165
2013,2763,Arlesheim,3_Personen,536
2013,2770,Muttenz,3_Personen,1006
2013,2821,Arisdorf,3_Personen,91
2013,2822,Augst,3_Personen,46
2013,2829,Liestal,3_Personen,775
2013,2841,Anwil,3_Personen,35
2013,2849,Itingen,3_Personen,121
2013,2861,Sissach,3_Personen,395
2013,2895,Waldenburg,3_Personen,66
2013,2763,Arlesheim,4_Personen,515
2013,2770,Muttenz,4_Personen,982
2013,2821,Arisdorf,4_Personen,97
2013,2822,Augst,4_Personen,27
2013,2829,Liestal,4_Personen,724
2013,2841,Anwil,4_Personen,48
2013,2849,Itingen,4_Personen,131
2013,2861,Sissach,4_Personen,359
2013,2895,Waldenburg,4_Personen,46
2013,2763,Arlesheim,5_Personen,143
2013,2770,Muttenz,5_Personen,295
2013,2821,Arisdorf,5_Personen,33
2013,2822,Augst,5_Personen,10
2013,2829,Liestal,5_Personen,278
2013,2841,Anwil,5_Personen,11
2013,2849,Itingen,5_Personen,39
2013,2861,Sissach,5_Personen,123
2013,2895,Waldenburg,5_Personen,25
2013,2763,Arlesheim,6_oder_mehr_Personen,38
2013,2770,Muttenz,6_oder_mehr_Personen,74
2013,2821,Arisdorf,6_oder_mehr_Personen,13
2013,2822,Augst,6_oder_mehr_Personen,2
2013,2829,Liestal,6_oder_mehr_Personen,90
2013,2841,Anwil,6_oder_mehr_Personen,6
2013,2849,Itingen,6_oder_mehr_Personen,11
2013,2861,Sissach,6_oder_mehr_Personen,39
2013,2895,Waldenburg,6_oder_mehr_Personen,19
2012,2763,Arlesheim,1_Person,1404
2012,2770,Muttenz,1_Person,2671
2012,2821,Arisdorf,1_Person,131
2012,2822,Augst,1_Person,166
2012,2829,Liestal,1_Person,2082
2012,2841,Anwil,1_Person,37
2012,2849,Itingen,1_Person,185
2012,2861,Sissach,1_Person,874
2012,2895,Waldenburg,1_Person,209
2012,2763,Arlesheim,2_Personen,1434
2012,2770,Muttenz,2_Personen,2817
2012,2821,Arisdorf,2_Personen,267
2012,2822,Augst,2_Personen,170
2012,2829,Liestal,2_Personen,2051
2012,2841,Anwil,2_Personen,74
2012,2849,Itingen,2_Personen,334
2012,2861,Sissach,2_Personen,963
