jahr,gemeinde_nummer,gemeinde,bfs_bezirk,bezirk,nationalitaet_code,nationalitaet,anzahl_personen
2006,2773,Reinach (BL),1301,Bezirk Arlesheim,1,Schweiz,15572
2006,2773,Reinach (BL),1301,Bezirk Arlesheim,2,Ausland,3093
2006,2851,Kilchberg (BL),1304,Bezirk Sissach,1,Schweiz,103
2006,2851,Kilchberg (BL),1304,Bezirk Sissach,2,Ausland,1
2006,2857,Rickenbach (BL),1304,Bezirk Sissach,1,Schweiz,512
2006,2857,Rickenbach (BL),1304,Bezirk Sissach,2,Ausland,51
2006,2892,Oberdorf (BL),1305,Bezirk Waldenburg,1,Schweiz,1903
2006,2892,Oberdorf (BL),1305,Bezirk Waldenburg,2,Ausland,432
2007,2761,Aesch (BL),1301,Bezirk Arlesheim,1,Schweiz,7809
2007,2761,Aesch (BL),1301,Bezirk Arlesheim,2,Ausland,2203
2007,2773,Reinach (BL),1301,Bezirk Arlesheim,1,Schweiz,15616
2007,2773,Reinach (BL),1301,Bezirk Arlesheim,2,Ausland,3194
2007,2851,Kilchberg (BL),1304,Bezirk Sissach,1,Schweiz,119
2007,2851,Kilchberg (BL),1304,Bezirk Sissach,2,Ausland,0
2007,2857,Rickenbach (BL),1304,Bezirk Sissach,1,Schweiz,500
2007,2857,Rickenbach (BL),1304,Bezirk Sissach,2,Ausland,54
2007,2892,Oberdorf (BL),1305,Bezirk Waldenburg,1,Schweiz,1868
2007,2892,Oberdorf (BL),1305,Bezirk Waldenburg,2,Ausland,427
2008,2761,Aesch (BL),1301,Bezirk Arlesheim,1,Schweiz,7841
2008,2761,Aesch (BL),1301,Bezirk Arlesheim,2,Ausland,2251
2008,2773,Reinach (BL),1301,Bezirk Arlesheim,1,Schweiz,15577
2008,2773,Reinach (BL),1301,Bezirk Arlesheim,2,Ausland,3277
2008,2851,Kilchberg (BL),1304,Bezirk Sissach,1,Schweiz,130
2008,2851,Kilchberg (BL),1304,Bezirk Sissach,2,Ausland,2
2008,2857,Rickenbach (BL),1304,Bezirk Sissach,1,Schweiz,499
2008,2857,Rickenbach (BL),1304,Bezirk Sissach,2,Ausland,45
